,Combination,Accuracy
0,"('transporter', 'enzyme', 'carrier', 'target')",0.8753768844221106
1,"('transporter', 'enzyme', 'carrier', 'sideeffect')",0.8773869346733668
2,"('transporter', 'enzyme', 'carrier', 'chem')",0.8733668341708543
3,"('transporter', 'enzyme', 'target', 'sideeffect')",0.8829145728643216
4,"('transporter', 'enzyme', 'target', 'chem')",0.8733668341708543
5,"('transporter', 'enzyme', 'sideeffect', 'chem')",0.8723618090452261
6,"('transporter', 'offside', 'carrier', 'target')",0.871859296482412
7,"('transporter', 'offside', 'carrier', 'sideeffect')",0.8733668341708543
8,"('transporter', 'offside', 'carrier', 'chem')",0.8814070351758794
9,"('transporter', 'offside', 'target', 'sideeffect')",0.8793969849246231
10,"('transporter', 'offside', 'target', 'chem')",0.8698492462311558
11,"('transporter', 'offside', 'sideeffect', 'chem')",0.8723618090452261
12,"('transporter', 'carrier', 'target', 'sideeffect')",0.8788944723618091
13,"('transporter', 'carrier', 'target', 'chem')",0.871356783919598
14,"('transporter', 'carrier', 'sideeffect', 'chem')",0.8728643216080402
15,"('transporter', 'target', 'sideeffect', 'chem')",0.870854271356784
16,"('enzyme', 'offside', 'carrier', 'target')",0.8778894472361809
17,"('enzyme', 'offside', 'carrier', 'sideeffect')",0.8678391959798994
18,"('enzyme', 'offside', 'carrier', 'chem')",0.8723618090452261
19,"('enzyme', 'offside', 'target', 'sideeffect')",0.8733668341708543
20,"('enzyme', 'offside', 'target', 'chem')",0.8733668341708543
